885
LABEL|Cri|100
LABEL|Str|282
LABEL|Dis|207
LABEL|Pol|243
LABEL|Oth|53
WORD|ATLANTA|Cri|12
WORD|Reuter|Cri|46
WORD|Two|Cri|14
WORD|powerful|Cri|12
WORD|explosions|Cri|12
WORD|rocked|Cri|4
WORD|an|Cri|214
WORD|Atlanta|Cri|52
WORD|building|Cri|86
WORD|housing|Cri|5
WORD|abortion|Cri|17
WORD|clinic|Cri|27
WORD|Thursday|Cri|34
WORD|the|Cri|2999
WORD|second|Cri|35
WORD|of|Cri|1392
WORD|which|Cri|114
WORD|injured|Cri|37
WORD|several|Cri|29
WORD|people|Cri|149
WORD|including|Cri|31
WORD|police|Cri|98
WORD|and|Cri|1183
WORD|fire|Cri|7
WORD|officials|Cri|46
WORD|who|Cri|242
WORD|answered|Cri|2
WORD|initial|Cri|4
WORD|emergency|Cri|6
WORD|call|Cri|12
WORD|Federal|Cri|25
WORD|investigators|Cri|27
WORD|said|Cri|656
WORD|it|Cri|178
WORD|appeared|Cri|13
WORD|was|Cri|700
WORD|target|Cri|4
WORD|but|Cri|146
WORD|they|Cri|136
WORD|could|Cri|85
WORD|not|Cri|226
WORD|rule|Cri|12
WORD|out|Cri|81
WORD|unrelated|Cri|3
WORD|domestic|Cri|7
WORD|terrorism|Cri|17
WORD|as|Cri|249
WORD|cause|Cri|12
WORD|The|Cri|414
WORD|first|Cri|74
WORD|blast|Cri|80
WORD|shattered|Cri|7
WORD|one|Cri|109
WORD|side|Cri|11
WORD|office|Cri|18
WORD|Northside|Cri|2
WORD|Family|Cri|3
WORD|Planning|Cri|2
WORD|Services|Cri|2
WORD|center|Cri|12
WORD|in|Cri|1083
WORD|a|Cri|1267
WORD|suburb|Cri|7
WORD|known|Cri|16
WORD|Sandy|Cri|4
WORD|Springs|Cri|4
WORD|at|Cri|309
WORD|around|Cri|29
WORD|EST|Cri|6
WORD|A|Cri|89
WORD|worker|Cri|10
WORD|least|Cri|14
WORD|four|Cri|33
WORD|were|Cri|279
WORD|inside|Cri|12
WORD|facility|Cri|10
WORD|time|Cri|47
WORD|no|Cri|77
WORD|little|Cri|11
WORD|over|Cri|62
WORD|hour|Cri|10
WORD|later|Cri|49
WORD|garbage|Cri|5
WORD|container|Cri|6
WORD|corner|Cri|3
WORD|adjacent|Cri|4
WORD|parking|Cri|5
WORD|lot|Cri|16
WORD|exploded|Cri|25
WORD|knocking|Cri|1
WORD|to|Cri|1299
WORD|ground|Cri|5
WORD|injuring|Cri|9
WORD|scene|Cri|19
WORD|Although|Cri|5
WORD|immediately|Cri|13
WORD|identified|Cri|17
WORD|possible|Cri|17
WORD|Attorney|Cri|8
WORD|Kent|Cri|1
WORD|Alexander|Cri|21
WORD|also|Cri|84
WORD|looking|Cri|14
WORD|other|Cri|82
WORD|dental|Cri|1
WORD|medical|Cri|7
WORD|legal|Cri|13
WORD|offices|Cri|2
WORD|That|Cri|12
WORD|is|Cri|258
WORD|definitely|Cri|3
WORD|possibility|Cri|5
WORD|we|Cri|71
WORD|are|Cri|98
WORD|ruling|Cri|13
WORD|violence|Cri|19
WORD|from|Cri|236
WORD|Office|Cri|3
WORD|FBI|Cri|76
WORD|Bureau|Cri|11
WORD|Alcohol|Cri|4
WORD|Tobacco|Cri|4
WORD|Firearms|Cri|4
WORD|checking|Cri|2
WORD|for|Cri|441
WORD|any|Cri|51
WORD|links|Cri|4
WORD|last|Cri|53
WORD|summer|Cri|1
WORD|Centennial|Cri|20
WORD|Olympic|Cri|49
WORD|Park|Cri|20
WORD|bombing|Cri|141
WORD|pipebomb|Cri|1
WORD|killed|Cri|97
WORD|two|Cri|117
WORD|hundreds|Cri|13
WORD|others|Cri|34
WORD|park|Cri|26
WORD|July|Cri|19
WORD|has|Cri|179
WORD|been|Cri|144
WORD|charged|Cri|28
WORD|that|Cri|521
WORD|incident|Cri|20
WORD|uncertain|Cri|1
WORD|if|Cri|77
WORD|explosive|Cri|9
WORD|devices|Cri|11
WORD|left|Cri|33
WORD|We|Cri|75
WORD|taking|Cri|18
WORD|every|Cri|11
WORD|precaution|Cri|3
WORD|make|Cri|28
WORD|sure|Cri|9
WORD|there|Cri|60
WORD|another|Cri|26
WORD|device|Cri|22
WORD|gets|Cri|1
WORD|hurt|Cri|7
WORD|Police|Cri|24
WORD|strengthened|Cri|2
WORD|security|Cri|59
WORD|half|Cri|7
WORD|dozen|Cri|4
WORD|clinics|Cri|6
WORD|metropolitan|Cri|1
WORD|area|Cri|15
WORD|areas|Cri|2
WORD|stepped|Cri|5
WORD|up|Cri|73
WORD|measures|Cri|7
WORD|Many|Cri|6
WORD|had|Cri|259
WORD|already|Cri|17
WORD|on|Cri|422
WORD|guard|Cri|12
WORD|because|Cri|37
WORD|next|Cri|16
WORD|week|Cri|21
WORD|marks|Cri|3
WORD|anniversary|Cri|11
